Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0       105    0,00    0,00    0,00    0,00    0,00    15  cpuhp/15
03:54:43        0       106    0,00    0,00    0,00    0,00    0,00    15  idle_inject/15
03:54:43        0       107    0,00    0,00    0,00    0,00    0,00    15  migration/15
03:54:43        0       108    0,00    0,00    0,00    0,99    0,00    15  ksoftirqd/15
03:54:43        0       110    0,00    0,00    0,00    0,00    0,00    15  kworker/15:0H-events_highpri
03:54:43        0       113    0,00    0,00    0,00    0,00    0,00     9  kdevtmpfs
03:54:43        0       114    0,00    0,00    0,00    0,00    0,00     5  kworker/R-inet_
03:54:43        0       116    0,00    0,00    0,00    0,00    0,00     1  kauditd
03:54:43        0       119    0,00    0,00    0,00    0,00    0,00     1  kworker/1:2-events
03:54:43        0       120    0,00    0,00    0,00    0,00    0,00     0  khungtaskd
03:54:43        0       121    0,00    0,00    0,00    0,00    0,00     4  oom_reaper
03:54:43        0       123    0,00    0,00    0,00    0,00    0,00     4  kworker/R-write
03:54:43        0       124    0,00    0,00    0,00    0,00    0,00    14  kcompactd0
03:54:43        0       125    0,00    0,00    0,00    0,00    0,00     4  ksmd
03:54:43        0       126    0,00    0,00    0,00    0,00    0,00     8  khugepaged
03:54:43        0       127    0,00    0,00    0,00    0,00    0,00     4  kworker/R-kinte
03:54:43        0       128    0,00    0,00    0,00    0,00    0,00     4  kworker/R-kbloc
03:54:43        0       129    0,00    0,00    0,00    0,00    0,00     4  kworker/R-blkcg
03:54:43        0       130    0,00    0,00    0,00    0,00    0,00     1  irq/9-acpi
03:54:43        0       132    0,00    0,00    0,00    0,00    0,00     4  kworker/R-tpm_d
03:54:43        0       133    0,00    0,00    0,00    0,00    0,00     4  kworker/R-ata_s
03:54:43        0       134    0,00    0,00    0,00    0,00    0,00     4  kworker/R-md
03:54:43        0       135    0,00    0,00    0,00    0,00    0,00     4  kworker/R-md_bi
03:54:43        0       136    0,00    0,00    0,00    0,00    0,00     4  kworker/R-edac-
03:54:43        0       137    0,00    0,00    0,00    0,00    0,00    10  kworker/u64:1-ext4-rsv-conversion
03:54:43        0       138    0,00    0,00    0,00    0,00    0,00     4  kworker/R-devfr
03:54:43        0       139    0,00    0,00    0,00    0,00    0,00     5  watchdogd
03:54:43        0       140    0,00    0,00    0,00    0,00    0,00     1  kworker/1:1H-kblockd
03:54:43        0       142    0,00    0,00    0,00    0,00    0,00     2  irq/26-AMD-Vi
03:54:43        0       143    0,00    0,00    0,00    0,00    0,00     4  kswapd0
03:54:43        0       144    0,00    0,00    0,00    0,00    0,00     5  ecryptfs-kthread
03:54:43        0       145    0,00    0,00    0,00    0,00    0,00     5  kworker/R-kthro
03:54:43        0       148    0,00    0,00    0,00    0,00    0,00     5  kworker/5:1-events
03:54:43        0       150    0,00    0,00    0,00    0,00    0,00     7  kworker/7:1-events
03:54:43        0       152    0,00    0,00    0,00    0,00    0,00    10  kworker/10:1-rcu_par_gp
03:54:43        0       157    0,00    0,00    0,00    0,00    0,00    15  kworker/15:1-events
